,"Proportion of crows",,,"Mosquitoes per crow",,,
43.7,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43.8,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43.9,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.1,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.2,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.3,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.4,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.5,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.6,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.7,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.8,0.002,0.000,0.998,12.795,30.000,0.000,0.001
44.9,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.1,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.2,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.3,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.4,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.5,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.6,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.7,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.8,0.002,0.000,0.998,12.795,30.000,0.000,0.001
45.9,0.002,0.000,0.998,12.795,30.000,0.000,0.001
46,0.002,0.000,0.998,12.795,30.000,0.000,0.001
46.1,0.002,0.000,0.998,12.795,30.000,0.000,0.001
46.2,0.002,0.000,0.998,12.795,30.000,0.000,0.000
46.3,0.002,0.000,0.998,12.795,30.000,0.000,0.000
46.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
46.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
46.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
46.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
46.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
46.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
47.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
48.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
49.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
50.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
51.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
52.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
53.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
54.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
55.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
56.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
57.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
58.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
59.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
60.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
61.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
62.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
63.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
64.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
65.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
66.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
67.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
68.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
69.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
70.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
71.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
72.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
73.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
74.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
75.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
76.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
77.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
78.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
79.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
80.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
81.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
82.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
83.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
84.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
85.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
86.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
